index,contentE,contentK
40,"The next day when she had seated herself at table with the King and all the courtiers, and was eating from her little golden plate,","다음날 공주가 왕과 신하들과 함께 식탁에 앉아 자신의 예쁜 황금 접시에 담긴 음식을 먹고 있는데,"
41,"something came creeping splish splash, splish splash, up the marble staircase,","대리석 계단을 오르는 무언가가, 첨벙 첨벙, 첨벙 첨벙, 하고서 울리며 다가왔어요."
42,"and when it had got to the top, it knocked at the door and cried,","계단 꼭대기까지 다다르자, 누군가가 문을 똑똑 노크하며 소리쳤다. "
43,"“Princess, youngest princess, open the door for me.”","“공주, 막내 공주, 저에요, 문을 열어주세요.” "
44,"She ran to see who was outside, but when she opened the door, there sat the frog in front of it.",누군지 보려고 달려간 공주가 문을 열었을 때 어마나 세상에 문 앞에 어제 그 개구리가 앉아 있지 뭐예요.
45,"Then she slammed the door to, in great haste, sat down to dinner again, and was quite frightened.","그래서 공주가 문을 사정없이 닫아버리고는 허둥대며 다시 자리로 와 식사를 계속했지만, 공주도 너무나도 놀란 건 사실이었어요."
46,"The King saw plainly that her heart was beating violently, and said,",왕은 공주의 얼굴이 붉으락푸르락한것을 봤어요. 그래서 왕이 말했어요.
47,"“My child, what art you so afraid of? Is there perchance a giant outside who wants to carry you away?”","“딸애야, 왜 그러니? 문 앞에서 너를 데려가려는 거인이라도 본 게냐?”"
48,"“Ah, no,” replied she. “It is no giant but a disgusting frog.”","“아, 아냐,”라며 공주가 말했어요. “거인이 아니라 구역질나는 개구리 한 마리야.”"
49,“What does a frog want with you?”,“개구리가 왜 너를 부른단 말이냐?”
50,"“Ah, dear father, yesterday as I was in the forest sitting by the well, playing, my golden ball fell into the water. And because I cried so, the frog brought it out again for me, and because he so insisted, ","“아 그게, 아빠, 내가 어제 숲에 있는 우물가에 앉아 공을 만지작거리다 황금 공을 우물 속에 떨어뜨리고 말았거든. 그래서 울고 있는데 개구리가 공을 다시 갖다 주었어."
51,"I promised him he should be my companion, but I never thought he would be able to come out of his water!",개구리에게 친구가 되겠다고 약속했엇어. 하지만 개구리가 물밖에 나올수 있을거라 생각못했어!
52,"And now he is outside there, and wants to come in to me.”","그런데 지금 저렇게 문 앞에 있네, 들여보내 달라며.”"
53,"In the meantime it knocked a second time, and cried,",그러는 사이에 개구리가 똑똑 하며 두 번째 노크를 하며 소리치고 있었어요.
54,“Princess! youngest princess! Open the door for me!,“공주님! 막내공주님! 제게 문을 열어주시어요!
55,Dost you not know what you saidst to me Yesterday by the cool waters of the fountain?,어제 시원한 분수대 옆 물가에서 제게 하신 말씀을 그새 잊으신 건 아니겠죠?
56,"Princess, youngest princess! Open the door for me!”","공주님, 막내공주님! 어서 문을 열어주시어요!” "
57,"Then said the King, “That which you hast promised must you perform. Go and let him in.”",그러자 왕이 말씀하셨어요. “약속은 지키라고 있는 게다. 어서 가서 그 분을 들이 거라.”
58,"She went and opened the door, and the frog hopped in and followed her, step by step, to her chair.","공주가 가서 문을 열어주자, 개구리는 폴짝 폴짝 뛰어 안으로 들어와선 공주님 뒤를 쫓았어요, 한 발짝 한 발짝, 드디어 공주 의자에까지 왔어요."
59,"There he sat and cried, “Lift me up beside you.” ",거기서 개구리가 소리쳤어요. “당신 옆으로 올려줘요.”
60,"She delayed, until at last the King commanded her to do it. ","공주가 머뭇거리자, 마침내 왕께서 그리하라 이르셨어요."
61,"When the frog was once on the chair he wanted to be on the table, ","공주의 의자에 일단 한 번 착석을 하자, 개구리가 이번엔 식탁 위로 가고 싶어 했어요."
62,"and when he was on the table he said,",식탁 위에서 이제 개구리가 말했어요.
63,"“Now, push your little golden plate nearer to me that we may eat together.” ","“자, 당신의 예쁜 황금 접시에 담긴 음식을 우리가 함께 먹을 수 있도록 그 황금 접시를 더 내 쪽으로 밀어줘요.”"
64,"She did this, but it was easy to see that she did not do it willingly.","공주가 그리 했어요, 하지만 절대 그리 하고 싶어 하지 않는 것처럼 보였어요."
65,"The frog enjoyed what he ate, but almost every mouthful she took choked her.",개구리는 자신이 먹는 걸 즐거워했어요. 하지만 공주는 음식 한 입 한 입마다 정말이지 숨이 막혀 죽을 지경이었어요.
66,"At length he said, “I have eaten and am satisfied; now I am tired, carry me into your little room and make your little silken bed ready, and we will both lie down and go to sleep.”","마침내 개구리가 말했어요.“이제 만족하게 먹었으니. 좀 피곤한데, 나를 당신의 예쁜 방으로 데려가 주고 당신의 예쁜 비단 침대에 자리를 펴줘요, 우리 같이 누워 자자고요.”"
67,"The King’s daughter began to cry, for she was afraid of the cold frog which she did not like to touch, and which was now to sleep in her pretty, clean little bed.",공주가 급기야 눈물을 터뜨렸어요. 차가운 개구리를 만지고 싶지 않거니와 자신의 예쁘고 깨끗한 이쁜이 침대에서 재우기도 넘 싫었기 때문이죠.
68,"But the King grew angry and said, “He who helped you when you wert in trouble ought not afterwards to be despised by you.”","하지만 왕께서 화를 내시면서 말씀하셨어요. “니가 정말에 빠져있을때 너를 도와주신 분을, 그일이 지났다고 무시해서는 안된다.”"
69,"So she took hold of the frog with two fingers, carried him upstairs, and put him in a corner. ",그래서 공주는 개구리를 두 손가락으로 쥐고서 2층으로 가 방구석에 두었어요.
70,"But when she was in bed he crept to her and said, “I am tired, I want to sleep as well as you, lift me up or I will tell your father.”","공주가 침대에 앉자 개구리가 공주에게로 기어오며 말하길, “나 피곤해, 네 옆에서 자고 싶어, 나를 들어 올려줘, 그렇지 않음 네 아버지께 다 이를 거야.”"
71,"Then she was terribly angry, and took him up and threw him with all her might against the wall.",그 바람에 공주의 참아왔던 화가 폭발하고 말았어요. 개구리를 집어다 벽에다 사정없이 내던지고 말았어요.
72,"“Now, you will be quiet, odious frog,” said she. ","“자, 이제 좀 조용해지시겠지, 이 가증스런 개구리야.”라며 공주가 말했어요."
73,But when he fell down he was no frog but a King’s son with beautiful kind eyes.,"그런데 바닥으로 떨어진 개구리가 더 이상 개구리가 아닌, 아름답고 상냥한 눈동자를 지닌 왕자님이 되어 있었어요."
74,He by her father’s will was now her dear companion and husband.,왕의 말씀에 따라 왕자는 이제 공주의 연인이자 남편이 되었어요.
75,"Then he told her how he had been bewitched by a wicked witch, and how no one could have delivered him from the well but herself,","그러고 나서 왕자는 공주에게 자신이 어떻게 하여 사악한 마녀의 마법에 빠지게 되었는지, 그리고 그 마녀가 공주 외에는 아무도 자신(=왕자)을 우물에서 구하지 못하게 했는지를 말해주었어요. "
76,and that to-morrow they would go together into his kingdom.,그 다음날 공주와 왕자는 함께 왕자의 왕국으로 갔어요.
77,"Then they went to sleep, and next morning when the sun awoke them, a carriage came driving up with eight white horses, which had white ostrich feathers on their heads, and were harnessed with golden chains,","그런 다음 같이 잠을 잤고요, 그 다음날 아침 햇볕이 그들을 깨우자, 8마리의 흰 말들이 끄는 마차가 도착했는데, 말 머리엔 흰색 타조 깃털들이 꽂아져 있었고요 금줄로 치렁치렁 몸을 감싼 말들이었어요."
78,and behind stood the young King’s servant Faithful Henry.,그리고 그 뒤에 왕자님의 충실한 종 ‘헨리’가 서 있었어요.
79,"Faithful Henry had been so unhappy when his master was changed into a frog, ",충실한 ‘헨리’는 자신의 주인이 개구리로 변해버리자 너무도 슬펐어요.
80,"that he had caused three iron bands to be laid round his heart,lest it should burst with grief and sadness.",그래서 그는 비탄과 슬픔에 자신의 심장이 터져버리는 것을 막기 위해 가슴에 세 개의 철을 둘러매었어요.
81,"The carriage was to conduct the young King into his Kingdom. Faithful Henry helped them both in, and placed himself behind again,",왕자님 부부를 왕자님의 왕국으로 태우고 갈 마차를 끌고 온 충실한 헨리는 두 분을 도와 마차에 태워드린 후에 다시 뒷좌석으로 가 앉았어요.
82,and was full of joy because of this deliverance.,그리고 그는 왕자님이 사악한 마법에서 해방되신게 너무도 기뻤답니다.
83,And when they had driven a part of the way the King’s son heard a cracking behind him as if something had broken.,마차를 타고 가는 도중에 왕자님은 자신의 뒤에서 무엇인가가 마치 부서질 듯 갈라지는 소리를 들었어요.
84,"So he turned round and cried, “Henry, the carriage is breaking.”","그래서 뒤돌아보며 소리쳤어요. “헨리, 마차가 부서지고 있어.” "
85,"“No, master, it is not the carriage. It is a band from my heart, which was put there in my great pain when you were a frog and imprisoned in the well.” ","“아닙니다, 주인님, 마차가 아니에요. 제 가슴에서 나는 소리에요. 왕자님이 개구리로 변해 우물 속에 갇히셨을 때 제가 슬픔을 참지 못하고 제 가슴에 둘러맨 쇠테(철로 만든 띠)에요.”"
86,"Again and once again while they were on their way something cracked, and each time the King’s son thought the carriage was breaking;","마차가 가는 도중에 또다시 그리고 한 번 더 또다시 뭔가가 와장창 깨지는 소리가 났고, 그럴 때마다 왕자님은 이번엔 정말이지 마차가 부셔지고 있다고 생각했어요."
87,but it was only the bands which were springing from the heart of faithful Henry because his master was set free and was happy.,하지만 그건 자신의 주인이 마법에서 풀려나 행복한 것이 너무도 기뻤던 충직한 종인 ‘헨리’의 심장의 소리였답니다.
88,"“Now, you will be quiet, odious frog,” said she. ","“자, 이제 좀 조용해지시겠지, 이 가증스런 개구리야.”라며 공주가 말했어요."
89,But when he fell down he was no frog but a King’s son with beautiful kind eyes.,"그런데 바닥으로 떨어진 개구리가 더 이상 개구리가 아닌, 아름답고 상냥한 눈동자를 지닌 왕자님이 되어 있었어요."
91,He by her father’s will was now her dear companion and husband.,왕의 말씀에 따라 왕자는 이제 공주의 연인이자 남편이 되었어요.
92,"Then he told her how he had been bewitched by a wicked witch, and how no one could have delivered him from the well but herself,","그러고 나서 왕자는 공주에게 자신이 어떻게 하여 사악한 마녀의 마법에 빠지게 되었는지, 그리고 그 마녀가 공주 외에는 아무도 자신(=왕자)을 우물에서 구하지 못하게 했는지를 말해주었어요. "
93,and that to-morrow they would go together into his kingdom.,그 다음날 공주와 왕자는 함께 왕자의 왕국으로 갔어요.
94,"Then they went to sleep, and next morning when the sun awoke them, a carriage came driving up with eight white horses, which had white ostrich feathers on their heads, and were harnessed with golden chains,","그런 다음 같이 잠을 잤고요, 그 다음날 아침 햇볕이 그들을 깨우자, 8마리의 흰 말들이 끄는 마차가 도착했는데, 말 머리엔 흰색 타조 깃털들이 꽂아져 있었고요 금줄로 치렁치렁 몸을 감싼 말들이었어요."
95,and behind stood the young King’s servant Faithful Henry.,그리고 그 뒤에 왕자님의 충실한 종 ‘헨리’가 서 있었어요.
97,"Faithful Henry had been so unhappy when his master was changed into a frog, ",충실한 ‘헨리’는 자신의 주인이 개구리로 변해버리자 너무도 슬펐어요.
98,"that he had caused three iron bands to be laid round his heart,lest it should burst with grief and sadness.",그래서 그는 비탄과 슬픔에 자신의 심장이 터져버리는 것을 막기 위해 가슴에 세 개의 철을 둘러매었어요.
99,"The carriage was to conduct the young King into his Kingdom. Faithful Henry helped them both in, and placed himself behind again,",왕자님 부부를 왕자님의 왕국으로 태우고 갈 마차를 끌고 온 충실한 헨리는 두 분을 도와 마차에 태워드린 후에 다시 뒷좌석으로 가 앉았어요.
100,and was full of joy because of this deliverance.,그리고 그는 왕자님이 사악한 마법에서 해방되신게 너무도 기뻤답니다.
101,And when they had driven a part of the way the King’s son heard a cracking behind him as if something had broken.,마차를 타고 가는 도중에 왕자님은 자신의 뒤에서 무엇인가가 마치 부서질 듯 갈라지는 소리를 들었어요.
102,"So he turned round and cried, “Henry, the carriage is breaking.”","그래서 뒤돌아보며 소리쳤어요. “헨리, 마차가 부서지고 있어.” "
103,"“No, master, it is not the carriage. It is a band from my heart, which was put there in my great pain when you were a frog and imprisoned in the well.” ","“아닙니다, 주인님, 마차가 아니에요. 제 가슴에서 나는 소리에요. 왕자님이 개구리로 변해 우물 속에 갇히셨을 때 제가 슬픔을 참지 못하고 제 가슴에 둘러맨 쇠테(철로 만든 띠)에요.”"
104,"Again and once again while they were on their way something cracked, and each time the King’s son thought the carriage was breaking;","마차가 가는 도중에 또다시 그리고 한 번 더 또다시 뭔가가 와장창 깨지는 소리가 났고, 그럴 때마다 왕자님은 이번엔 정말이지 마차가 부셔지고 있다고 생각했어요."
105,but it was only the bands which were springing from the heart of faithful Henry because his master was set free and was happy.,하지만 그건 자신의 주인이 마법에서 풀려나 행복한 것이 너무도 기뻤던 충직한 종인 ‘헨리’의 심장의 소리였답니다.
